userId,fullName,nickName,gender,address,city,state,zip,cellPhone,workPhone,homePhone,email,personalWebsite,birthYear,age,dateOfBirth,height,weight,placeOfBirth,health,maritalStatus,children,childrenNumber,childrenAges,immigrationStatus,immigrationStatusOther,ethnicity,highSchool,highSchoolYear,bachelors,bachelorsYear,masters,mastersYear,doctorate,doctorateYear,otherDegree,otherDegreeYear,highestEducation,employed,employment,position,income,religiousPractice,religiousPracticeOther,religiousPracticeBrief,revertTime,beard,smoker,preReligious,preReligiousOther,preReligiousBrief,preWear,preSmoking,preEthnic,preEthnicSpecific,preImmigrationStatus,preImmigrationStatusOther,preMaritalStatus,preChildren,preEducation,preEmployment,preIncome,preAgeGap,guarName,guarAddress,guarCity,guarState,guarCountry,guarPhone,guarEmail,guarProfession,familyBrief,refName1,refRelation1,refPhone1,refName2,refRelation2,refPhone2,refName3,refRelation3,refPhone3,photo,cv,album,govIssuedId,matchShowLimit,userPass,status,profileCompleteness,openingDate,lastEdit,userToken,matchId,matchPercentage,reqAccepted,reqRejected,reqSent,signature,gallery,tempGallery,lockedId
61,Candidate 2,NULL,Male,Address 2,Brooklyn,NY,101101,000-000-0001,NULL,NULL,test2@gmail.com,NULL,1991,28,NULL,67,160,NULL,NULL,Single,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,NULL,Other,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,"Niqab, Jelbab/Abaya",No,NULL,No Preference,US Citizen,NULL,Single,No,Bachelor,No,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,angular2-logo_FgiPwF5.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,86,NULL,00:49.0,79200886,"28,27,25,26,29,","80,70,60,60,60,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
62,Candidate 5,NULL,Male,Address 5,Princeton,NY,101101,000-000-0004,NULL,NULL,test5@gmail.com,NULL,1992,27,NULL,65,150,NULL,NULL,Single,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bachelor,Yes,NULL,NULL,NULL,Sunni,NULL,NULL,NULL,No,No,Sunni,NULL,NULL,None,No,NULL,No Preference,"US Citizen,H1B",NULL,Single,No,Bachelor,No Preference,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Capture2.PNG,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Locked,86,NULL,06:17.0,81554157,"27,28,26,29,31,25,32,","60,60,50,50,50,40,0,",26,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,31
63,Candidate 6,NULL,Male,Address 6,Houston,NY,101101,000-000-0005,NULL,NULL,test6@gmail.com,NULL,1987,32,NULL,66,155,NULL,NULL,Single,No,NULL,NULL,Student Visa(OPT),NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,NULL,Sunni,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,No Preference,No,NULL,No Preference,No Preference,NULL,Single,No,Masters,No,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,83,NULL,44:57.0,28496118,"28,26,27,25,29,","60,50,50,40,40,",31,NULL,27,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
64,Candidate 7,NULL,Male,Address 7,Ozone Park,NY,101101,000-000-0006,NULL,NULL,test7@gmail.com,NULL,1989,33,NULL,61,180,NULL,NULL,Single,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,100000,Sunni,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,NULL,No,NULL,Bangladeshi,No Preference,NULL,Single,No,Bachelor,Yes,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Deactivated,80,NULL,45:14.0,25609040,"27,26,28,31,25,29,32,","70,60,60,60,50,40,0,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
65,Candidate 8,NULL,Male,Address 8,Warren,NY,101101,000-000-0007,NULL,NULL,test8@gmail.com,NULL,1982,37,NULL,69,170,NULL,NULL,Divorced,Yes,NULL,NULL,Parmanent Resident,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,150000,Sunni,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,Jelbab/Abaya,No,NULL,Bangladeshi,No Preference,NULL,No Preference,NULL,Masters,Yes,100000,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,12835553,"27,26,25,28,29,","40,30,20,20,20,",26,NULL,30,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
66,Candidate 9,NULL,Male,Address 9,Staten Islan,NY,101101,000-000-0008,NULL,NULL,test9@gmail.com,NULL,1985,33,NULL,66,150,NULL,NULL,Divorced,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,Yes,NULL,NULL,150000,Sunni,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,Niqab,No Preference,NULL,American,"US Citizen,Parmanent Resident",NULL,No Preference,Yes,Bachelor,No,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"28,27,29,26,25,","40,30,30,20,10,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
67,Candidate 10,NULL,Male,Address 10,Dallas,NY,101101,000-000-0009,NULL,NULL,test10@gmail.com,NULL,1984,34,NULL,67,143,NULL,NULL,Single,No,NULL,NULL,H1B,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,NULL,Sunni,NULL,NULL,NULL,No,No,Sunni,NULL,NULL,Headscarf,NULL,NULL,Bengali,"US Citizen,Parmanent Resident, Student Visa",NULL,Single,NULL,Bachelor,No Preference,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"25,27,28,29,26,","30,30,30,30,20,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
68,Candidate 12,NULL,Male,Address 12,Hardson,NY,101101,000-000-0011,NULL,NULL,test12@gmail.com,NULL,1970,42,NULL,71,170,NULL,NULL,Divorced,No,NULL,NULL,EAD,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,Yes,NULL,NULL,50000,Sunni,NULL,NULL,NULL,No,Yes,Sunni,NULL,NULL,No Preference,NULL,NULL,NULL,No Preference,NULL,"Divorced,Widowed",No,No Preference,No Preference,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Inactive,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
69,Candidate 13,NULL,Male,Address 13,Jersy City,NY,101101,000-000-0012,NULL,NULL,test13@gmail.com,NULL,1986,32,NULL,60,160,NULL,NULL,Single,No,NULL,NULL,Parmanent Resident,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,120000,Sunni,NULL,NULL,NULL,No,No,Sunni,NULL,NULL,No Preference,No preference,NULL,No Preference,No Preference,NULL,Single,No,Bachelor,No,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"28,27,29,26,25,","60,50,50,40,30,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
70,Candidate 14,NULL,Male,Address 14,Fairlawn,NY,101101,000-000-0013,NULL,NULL,test14@gmail.com,NULL,1992,25,NULL,68,155,NULL,NULL,Single,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Doctorate,Yes,NULL,NULL,NULL,Other,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,No Preference,No,NULL,No Preference,NULL,NULL,Single,No,Doctorate,No Preference,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"26,28,25,27,29,","60,60,50,50,50,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
